date,campaign,ad_id,spend
2019-02-11,12190679,33640356,4.810
2019-02-11,12190679,33640357,6.790
2019-02-11,12190732,33640453,3.690
2019-02-11,12190732,33640455,4.250
2019-02-11,12304034,33790843,0.880
2019-02-11,12304034,33790844,1.890
2019-02-11,12304034,33790845,2.460
2019-02-11,12304034,33790846,8.720
2019-02-11,12304034,33790847,6.320
2019-02-11,12304040,33790853,17.100
2019-02-11,12304040,33790854,17.540
2019-02-11,12304040,33790855,18.680
2019-02-11,12304040,33790857,16.240
2019-02-11,12304042,33790859,0.000
2019-02-11,12304042,33790860,0.000
2019-02-11,12304042,33790861,0.000
2019-02-11,12304042,33790863,0.000
2019-02-11,12304042,33790864,0.000
2019-02-11,12304069,33790899,4.860
2019-02-11,12304086,33790919,0.550
2019-02-11,12304086,33790920,0.580
2019-02-11,12304086,33790921,0.560
2019-02-11,12304086,33790922,0.870
2019-02-11,12304086,33790923,1.400
2019-02-11,12304092,33790929,2.950
2019-02-11,12304092,33790930,2.770
2019-02-11,12304092,33790932,2.300
2019-02-11,12304092,33790933,1.390
2019-02-11,12304099,33790944,0.000
2019-02-11,12304099,33790945,0.000
2019-02-11,12304099,33790946,0.000
2019-02-11,12304099,33790947,0.000
2019-02-11,12304099,33790948,0.000
2019-02-11,12304099,33790949,0.000
2019-02-11,12304110,33790965,0.430
2019-02-11,12304110,33790966,2.960
2019-02-11,12304110,33790967,1.010
2019-02-11,12304110,33790968,0.660
2019-02-11,12304110,33790969,1.070
2019-02-11,12304110,33790970,5.370
2019-02-11,12314791,33808204,0.000
2019-02-11,12314791,33808205,0.000
2019-02-11,12314791,33808206,0.000
2019-02-11,12314829,33808284,0.000
2019-02-11,12314829,33808285,91.800
2019-02-11,12314829,33808286,0.000
2019-02-11,12317600,33813080,1231.330
2019-02-11,12317600,33813081,3110.670
2019-02-11,12317600,33813082,183.400
2019-02-11,12317617,33813111,43.820
2019-02-11,12317617,33813112,88.990
2019-02-11,12317617,33813113,7.850
2019-02-11,12435950,34000962,0.000
2019-02-11,12435950,34000963,0.000
2019-02-11,12435950,34000964,0.000
2019-02-11,12435950,34000965,0.000
2019-02-11,12435950,34000966,0.000
2019-02-11,12465079,34044770,5.510
2019-02-11,12501879,34122331,135.390
2019-02-11,12501909,34122385,9.940
2019-02-11,12501909,34122386,9.120
2019-02-11,12501942,34122426,3.180
2019-02-11,12501942,34122427,2.070
2019-02-11,12501957,34738345,118.630
2019-02-11,12501987,34122492,12.100
2019-02-11,12501994,34122502,2.460
2019-02-11,12501994,34122503,1.180
2019-02-11,12640342,34314799,3.730
2019-02-11,12640342,34314800,109.820
2019-02-11,12640342,34314801,36.530
2019-02-11,12640362,34314825,6.060
2019-02-11,12640362,34314826,280.290
2019-02-11,12640362,34314827,44.300
2019-02-11,12696235,34398202,64.890
2019-02-11,12696235,34398203,4.480
2019-02-11,12696296,34398274,1524.790
2019-02-11,12696296,34398275,79.080
2019-02-11,12706263,34428355,16.500
2019-02-11,12706263,34428356,44.840
2019-02-11,12706263,34428357,40.990
2019-02-11,12706263,34428358,13.430
2019-02-11,12706273,34428369,11.840
2019-02-11,12706273,34428370,28.540
2019-02-11,12706273,34428371,21.190
2019-02-11,12706273,34428372,10.670
2019-02-11,12706432,34428601,4.680
2019-02-11,12706432,34428602,5.370
2019-02-11,12706432,34428603,3.550
2019-02-11,12706432,34428604,4.680
2019-02-11,12706449,34428633,4.350
2019-02-11,12706449,34428634,6.330
2019-02-11,12706449,34428635,4.660
2019-02-11,12706449,34428636,7.070
2019-02-11,12706485,34428689,1.680
2019-02-11,12706485,34428690,1.400
2019-02-11,12706485,34428691,0.890
2019-02-11,12706485,34428692,2.100
2019-02-11,12706575,34428797,2.410
2019-02-11,12706575,34428798,3.690
2019-02-11,12706575,34428799,8.110
2019-02-11,12706575,34428800,2.060
2019-02-11,12706583,34428808,2.360
2019-02-11,12706583,34428809,3.850
2019-02-11,12706583,34428810,5.990
2019-02-11,12706583,34428811,1.870
2019-02-11,12706640,34428875,1.400
2019-02-11,12706640,34428876,2.490
2019-02-11,12706640,34428877,2.270
2019-02-11,12706640,34428878,1.350
2019-02-11,12706648,34428887,2.120
2019-02-11,12706648,34428888,2.120
2019-02-11,12706648,34428889,1.070
2019-02-11,12706648,34428890,2.290
2019-02-11,12706720,34428975,0.640
2019-02-11,12706720,34428976,1.410
2019-02-11,12706720,34428977,0.710
2019-02-11,12706720,34428978,0.720
2019-02-11,12795586,34571799,1742.900
2019-02-11,12795617,34571858,2.200
2019-02-11,12795617,34571859,2.010
2019-02-11,12795657,34571969,1.190
2019-02-11,12795657,34571970,1.620
2019-02-11,12901318,34771484,0.000
2019-02-11,12933542,34813475,0.000
2019-02-11,12933542,34813476,0.000
2019-02-11,12933542,34813477,0.000
2019-02-11,12933542,34813478,0.000
2019-02-11,12933542,34813479,110.000
2019-02-11,12933542,34813480,0.000
2019-02-11,13043108,34988211,19.960
2019-02-11,13043155,34988257,2.720
2019-02-11,13075378,35050646,7.320
2019-02-11,13075378,35050647,8.360
2019-02-11,13075378,35050648,9.040
2019-02-11,13075378,35050649,133.540
2019-02-11,13075378,35050650,7.580
2019-02-11,13075378,35050651,1226.130
2019-02-11,13075378,35050652,68.460
2019-02-11,13075452,35050775,2.480
2019-02-11,13075452,35050776,2.150
2019-02-11,13075452,35050777,2.820
2019-02-11,13075452,35050778,2.580
2019-02-11,13075452,35050779,3.170
2019-02-11,13075452,35050780,12.600
2019-02-11,13075452,35050781,3.280
2019-02-11,13075505,35050862,0.670
